海鮮披薩/1片,651
18吋海鮮披薩,3880
bbq雞肉披薩/1片,642
18吋bbq雞肉披薩,3852
總匯披薩/1片,748
18吋總匯披薩,4486
18吋起司披薩,4108
牛肉捲,832
雞肉捲,684
青醬雞肉三明治,665
凱薩雞肉沙拉,979
蒜辣炸雞,740
豬肉熱狗,448
蛤蜊濃湯,545
鳳梨椰奶冰沙,336
焦糖海鹽霜淇淋,149
綜合果汁,164
磅蛋糕,260
百事可樂(650ml),280
百事可樂(低卡),0
七喜(650ml),293
檸檬紅茶(650ml),247
激浪(650ml),245
熱拿鐵,191
冰拿鐵,161
熱美式,9.5
冰美式,11.4
