元氣燻雞三明治,,390,,,,,,,,,,,,,,,,
鮪魚鮮蔬三明治,,380,,,,,,,,,,,,,,,,
花生火腿蛋三明治,300,423,,,,,,,,,,,,,,,,
鮪魚鮮蔬滿福堡,,384,,,,,,,,,,,,,,,,
晨光烘蛋牛肉三明治,300,317,,,,,,,,,,,,,,,,
義式肉醬烘蛋三明治?,300,338,,,,,,,,,,,,,,,,
田園燻雞起司蛋堡,,350,,,,,,,,,,,,,,,,
火腿起司滿福堡,350,314,,,,,,,,,,,,,,,,
火腿鮮蔬起司蛋堡,350,266,,,,,,,,,,,,,,,,
熱丹堤咖啡(M),320,0,,,,,,,,,,,,,,,,
熱丹堤咖啡(L),430,0,,,,,,,,,,,,,,,,
熱拿堤咖啡(S),240,109,,,,,,,,,,,,,,,,
熱拿堤咖啡(M),360,150,,,,,,,,,,,,,,,,
熱拿堤咖啡(L),480,191,,,,,,,,,,,,,,,,
熱摩卡咖啡(S),240,186,,,,,,,,,,,,,,,,
熱摩卡咖啡(M),360,231,,,,,,,,,,,,,,,,
熱摩卡咖啡(L),480,277,,,,,,,,,,,,,,,,
熱美式咖啡(M),320,0,,,,,,,,,,,,,,,,
熱美式咖啡(L),430,0,,,,,,,,,,,,,,,,
熱卡布奇諾咖啡(S),240,82,,,,,,,,,,,,,,,,
熱卡布奇諾咖啡(M),360,109,,,,,,,,,,,,,,,,
熱卡布奇諾咖啡(L),480,105,,,,,,,,,,,,,,,,
熱焦糖瑪琪雅朵(S),240,170,,,,,,,,,,,,,,,,
熱焦糖瑪琪雅朵(M),360,225,,,,,,,,,,,,,,,,
熱焦糖瑪琪雅朵(L),480,281,,,,,,,,,,,,,,,,
熱榛果拿堤咖啡(S),240,152,,,,,,,,,,,,,,,,
熱榛果拿堤咖啡(M),360,207,,,,,,,,,,,,,,,,
熱榛果拿堤咖啡(L),480,263,,,,,,,,,,,,,,,,
熱義大利濃縮咖啡(單份),30,0,,,,,,,,,,,,,,,,
熱義大利濃縮咖啡(雙份),40,0,,,,,,,,,,,,,,,,
冰美式咖啡(M),360,0,,,,,,,,,,,,,,,,
冰美式咖啡(L),480,,,,,,,,,,,,,,,,,
冰美式咖啡(J),600,0,,,,,,,,,,,,,,,,
冰拿堤咖啡(M),360,109,,,,,,,,,,,,,,,,
冰拿堤咖啡(L),480,150,,,,,,,,,,,,,,,,
冰拿堤咖啡(J),600,191,,,,,,,,,,,,,,,,
冰摩卡咖啡(M),360,186,,,,,,,,,,,,,,,,
冰摩卡咖啡(L),480,231,,,,,,,,,,,,,,,,
冰摩卡咖啡(J),600,277,,,,,,,,,,,,,,,,
冰卡布奇諾咖啡(M),360,136,,,,,,,,,,,,,,,,
冰卡布奇諾咖啡(L),480,149,,,,,,,,,,,,,,,,
