澳洲小拿鐵(熱)中,236,125,,,,,,,,,,,,,,,,
澳洲小拿鐵燕麥奶(熱)中,236,103,,,,,,,,,,,,,,,,
特濃小卡布(熱)中,118,66,,,,,,,,,,,,,,,,
特濃小卡布燕麥奶(熱)中,118,52,,,,,,,,,,,,,,,,
義式濃縮(熱)中,30,8,,,,,,,,,,,,,,,,
完美日曬耶加雪菲G1(冰)中,500,4,,,,,,,,,,,,,,,,
完美日曬耶加雪菲G1(熱)中,354,7,,,,,,,,,,,,,,,,
黃金曼特寧G1(冰)中,500,4,,,,,,,,,,,,,,,,
黃金曼特寧G2(熱)中,354,7,,,,,,,,,,,,,,,,
水洗耶加雪菲科契爾G1(冰)中,500,4,,,,,,,,,,,,,,,,
水洗耶加雪菲科契爾G2(熱)中,354,7,,,,,,,,,,,,,,,,
肯亞 精選小農(冰)中,500,4,,,,,,,,,,,,,,,,
肯亞 精選小農(熱)中,354,7,,,,,,,,,,,,,,,,
曼特寧 迦佑山G1(冰)中,500,4,,,,,,,,,,,,,,,,
曼特寧 迦佑山G1(熱)中,354,7,,,,,,,,,,,,,,,,
哥倫比亞 薇拉(冰)中,500,4,,,,,,,,,,,,,,,,
哥倫比亞 薇拉(熱)中,354,7,,,,,,,,,,,,,,,,
曼巴(冰)中,500,4,,,,,,,,,,,,,,,,
曼巴(熱)中,354,7,,,,,,,,,,,,,,,,
莊園老饕深焙(冰)中,500,4,,,,,,,,,,,,,,,,
莊園老饕深焙(熱)中,354,7,,,,,,,,,,,,,,,,
印尼 林東之金(冰)中,500,4,,,,,,,,,,,,,,,,
印尼 林東之金(熱)中,354,7,,,,,,,,,,,,,,,,
超級肯亞(冰)中,500,4,,,,,,,,,,,,,,,,
超級肯亞(熱)中,354,7,,,,,,,,,,,,,,,,
水果耶加雪菲G1(冰)中,500,4,,,,,,,,,,,,,,,,
水果耶加雪菲G1(熱)中,354,7,,,,,,,,,,,,,,,,
巴拿馬日曬(冰)中,500,4,,,,,,,,,,,,,,,,
巴拿馬日曬(熱)中,354,7,,,,,,,,,,,,,,,,
中美超級象豆(冰)中,500,4,,,,,,,,,,,,,,,,
中美超級象豆(熱)中,354,7,,,,,,,,,,,,,,,,
美式黑咖啡(冰)中,500,16,,,,,,,,,,,,,,,,
美式黑咖啡(熱)中,354,16,,,,,,,,,,,,,,,,
美式黑咖啡(冰)大,660,24,,,,,,,,,,,,,,,,
美式黑咖啡(熱)大,472,24,,,,,,,,,,,,,,,,
咖啡拿鐵(冰)中,500,268,,,,,,,,,,,,,,,,
咖啡拿鐵(熱)中,354,216,,,,,,,,,,,,,,,,
咖啡拿鐵(冰)大,660,382,,,,,,,,,,,,,,,,
咖啡拿鐵(熱)大,472,290,,,,,,,,,,,,,,,,
咖啡拿鐵燕麥奶(冰)中,500,249,,,,,,,,,,,,,,,,
